text,drug,sentiment,,,
"Hello AngC, I was offered Copaxone and Tecfidera. I had to rule out Tecfidera as I have stomach issues as it is and my Nurse said it will cause stomach issues at first. I ruled out Copaxone the first time round, so I was left with Aubagio. I am really confused and miffed at the moment with this drugs thing because Gilenya has the same effectiveness as Tecfidera but that wasn't offered. I have never been offered Tysabri or Lemtrada. I would rather hit this aggressively rather than wait until I am so bad that they will only turn round and say, sorry you are now SP so no drugs!!! Apologies for the rant i just don't fully understand. Its all down to budget and postcode I suppose. Sam",gilenya,2,,,
"As enamoured as i might be, to be on the Tecfidera habit, i try to monitor www news resources to ensure people are not suddenly keeling over because of it. News regarding Tecfidera (and Biogen, the pharmaceutical who makes it) invariably comes through the financial pages; for Big City Fat Cats who are eager to check share prices and the trends. Apparently the Biogen share price has taken a knock lately (not usually a good sign) but thankfully not due to their failure or a tragedy, but due to a competitor getting close to making another drug available. Apparently the 'pipeline' for a company called Celgene is hotting up and their latest big hope is supposedly more effective and safer than Tecfidera and Gilenya. The only side effects thus far are headache, increased risk of UTI and a runny nose. Has anyone else heard of Ozanimod?",gilenya,2,,,
"Ocrevus once fully licensed here should be the same as Lemtrada / Tysabri / Tecfidera. The instant of heart problems with Ocrevus have put it right at the back of my â€˜shit Iâ€™ll try next listâ€™. My order of preference for future (if at all needed) is as follows Lemtrada Cladrabine (off book injectable type NOT Mavenclad) HSCT (done in Mexico because the food is better than Moscow, itâ€™s warmer, Russians donâ€™t like us much right now and risk of septicaemia is 7% over there compared to nearly 70% here in the UK on the NHS) Anything that comes along in the interim Ocrevus",ocrevus,1,,,
"At a glance, Cladribine looks significantly better than anything else here.",cladribine,0,,,
Not sure if it in oz whats Ocrevus do for us im a bit out of touch with it all.,ocrevus,2,,,
"Well you know remicade works well for you, so I'd consider another similar biologic within the same class. Remicade, Cimzia, and Humira are all TNF-Alpha-Blocking biologics. Developing antibodies to one TNF-Alpha-blocker doesn't mean you will develop antibodies to Cimzia/Humira as the molecular structure is different enough that your immune system must start all over again (from the ground-up) with the antibody development process. You might never develop antibodies to Cimzia/Humira, or you could with no increased odds. Stelara is a completely different class of biologics with a completely different mechanism of action. It'd be a gamble, much like Entyvio was (another entirely different class of biologics to all of the other aforementioned biologic classes). Moderator Ulcerative Colitis John , 40, UC Proctosigmoiditis Rx: Remicade @5mgs/kg/6wks; daily 75mgs 6MP, 4.8g generic-Lialda, and rowasa There are two certainties in life: paying taxes and prednisone side effects...",cimzia,2,,,
"Hi Janine, Thanks for your response but due to the word limit, I was unable to make it clear that Mum tragically passed away at the end of February whilst on Tagrisso/AZD9291 for about a month. My question really is for gaining some sort of closure. I noticed on another forum and from research that the response rate to tagrisso is 70% for those who are T790m positive and so we really thought it would work for her. When I met her oncologist after she passed away, she said that my mother might have been in the 30% for whom it doesnÃ¢Â€Â™t work as the cancer had become aggressive after erlotinib. I just wonder if there have been many cases where patients have been T790m positive but tagrisso hasnÃ¢Â€Â™t worked as all I can find is positive findings. I just wonder if the cancer was allowed the progress and if she had got the drug earlier it would have made a difference? Perhaps more chemotherapy, etc.  The link you posted seems to be more for those who are T790m negative. Advice appreciated, thanks",tagrisso,0,,,
"When I last saw my neurologist, back in April last year, he told me that he saw no sign that my MS was shifting to Secondary Progressive. Since I saw him I've developed foot drop, my walking speed has probably halved and the distance I can walk has plummeted. I don't know what the criteria are for SPMS rather than RRMS but I'm hoping that I don't meet them. I'm happy taking Gilenya and the only DMTs for SPMS are interferon or Mitoxantrone. I can't take interferon because it caused depression when I took it some years ago. Mitoxantrone is most effective for people who have relapses and I don't like the sound of the side effects any way. Gilenya seems to be keeping relapses at bay, apart from one about a year ago, so I don't know how badly I would suffer if I was taken off it. Yes, RRMS and SPMS are just labels, however gently or bluntly they're applied. A label won't make any difference to how we feel or what we can do day-to-day. Where it does make a difference is in the availability of treatments for our condition. So I'm content to say that I have RRMS till my neurologist says otherwise - gently, I hope!",gilenya,2,,,
"My daughter has been tested ROS1 positive for NSCLC and has been taking Crizotinib for 10 weeks.  Recent  scans (CT and bone) show slight progression in the liver and possible new spots on her bones (spine and ribs) but the cancer in lung and nodes appears stable or even smaller.  Her blood work shows high LDH and low albumin.  Is this reason to believe the Crizotinib is not effective? Is it possible that the ROS1 detection was false positive? The testing was performed on paraffin embedded biopsy tissue by fluorescence in situ hybridization. 100% of the cells were positive for ROS1 gene rearrangement.   		This topic was modified 1 year, 9 months ago by Â fanos. 	  		This topic was modified 1 year, 9 months ago by Â fanos. 	    		This topic was modified 1 year, 9 months ago by Â fanos. 	  		This topic was modified 1 year, 9 months ago by Â fanos.",crizotinib,1,,,
"Okay, another question, both remicade and Humira are both anti-TNF's, so one would assume that if the body produces antibodies towards one, why not the other, since they are in the same family of drugs to my knowledge?",humira,2,,,
thank you for info. Â jerry took first treatment friday on the opdivo. i believe it is doing something. he has been runnung a low grade fever. Â he also has lost appetite and is weak. Â i hope this is a good sign,opdivo,2,,,
"I have been on Remicade for 2 years, and a few months ago I started getting severe joint pain and swelling in my wrists, knees, elbows etc.. The pain and swelling moves around. I called my GI doctor and he had me get bloodwork to check for Remicade antibodies. He called it a Prometheus test. Anyway, he called a couple of weeks later and said everything looked fine and to continue my infusions, but to see a rheumatologist to check out the cause of my joint pain. So I got a referral but can't get in to see a rheumatologist for 6 months. In the meantime my pcp did bloodwork that showed a positive ANA and possibility of lupus. He then sent me for the anti-dsDNA test and it came back positive, suggesting lupus. So I had been hoping that my pain might be caused from the Remicade, but the Prometheus test for antibodies had been negative. So I am really confused. If the Prometheus test shows no antibodies to Remicade, does that mean that I might have full blown lupus and not drug induced lupus? Has anyone had any similar problem?",remicade,1,,,
"As researchers have learned more about the mechanism behind the disease, targeted therapies for patients with EGFR-positive lung cancer have become more widely used. But given the myriad of ways this malignancy can evolve, the treatment landscape is constantly shifting, according to Edward Garon. At the 16 th Annual Winter Lung Cancer Conference in Miami Beach, CURE â€™s sister publication, OncLive , sat down with Garon, who is director of thoracic oncology at the David Geffen School of Medicine at UCLA, to discuss the findings of recent clinical studies and how they impact the future use of immunotherapy in non-small cell lung cancer. You just spoke about bringing immunotherapy into EGFR mutations. Can you start by discussing what the optimal regimen is for these patients right now? Garon : I think weâ€™re at the point where we donâ€™t have an optimal approach to immunotherapy in this population of patients. One of the things that I addressed in my talk was the dearth of data regarding this population of patients. The strongest data to date, I would argue, is from the IMpower150 study , which had three separate arms: the control arm was the regimen of carboplatin, paclitaxel and (Avastin [bevacizumab]), and there were two study arms â€“ one that swapped out the (Avastin) for (Tecentriq [atezolizumab]) and another that was a quadruplet that used all of the drugs: carboplatin, paclitaxel, (Avastin) and (Tecentriq). That study was for patients who had completed their therapy with EGFR inhibitors. What was shown was that the group of patients who received the quadruplet did have a benefit with respect to progression-free survival. And although the hazard ratio did cross one, there was at least a numerical suggestion that there was an overall survival advantage as well in that group of patients. Interestingly, there was not a clear benefit â€“ or at least as clear a benefit â€“ when the (Tecentriq) substituted for the (Avastin), really begging the question whether there was something in particular about the four drugs together. That, I think, to date, is the most compelling data set. It is not part of the approval for this quadruplet regimen, but it is something that we are often able to get to patients based on recommendations from the National Comprehensive Cancer Network. What are the next steps with that data? I think that data is, what that data is. It was about 100 patients out of a large clinical trial and I donâ€™t know whether or not there is an effort to replicate that in a larger number of patients. I know that some of the other PD-1 or PD-L1 inhibitors are looking at studies of that design, although generally not incorporating the (Avastin). One of the things that is an advantage for the IMpower150 study is that the same company owns both (Avastin) and (Tecentriq), which makes it easier to run that study looking at the quadruplet. Nonetheless there are some biological reasons to imagine that the inclusion of (Avastin) is important in this. We know that, particularly from data out of Japan that, certainly for progression-free survival, the addition of (Avastin) clearly adds to the EGFR inhibitor (Tarceva [erlotinib]) in two studies that have assessed that. We are also awaiting data from a study of (Tarceva) with or without (Cyramza [ramucirumab]). Are there any concerns with toxicity with a four-drug regimen like that? There certainly are concerns with toxicity. If one looks at the IMpower150 study, as one might expect, the toxicity is a little bit worse in the quadruplet than it would be in the triplet. Thatâ€™s in some ways to be expected. One of the other issues, aside from toxicity, is that the backbone of the regimen, carboplatin, paclitaxel and (Avastin) â€“ although a very reasonable, approved regimen for many years now â€“ has lost favor among many practitioners [who instead opt] for carboplatin and pemetrexed. Itâ€™s a little hard to find in the objective data what the reason for that is, because when theyâ€™re compared with respect to efficacy, the outcomes are not particularly disparate. But when you talk to practitioners, they will tell you it is for tolerability. As part of the PointBreak study, tolerability was assessed and one of the interesting things there is that neuropathy was the one toxicity that was clearly different between the two. The other, which frankly, is a big issue in my practice, is the hair loss. Many of my patients are continuing to work and they donâ€™t want to lose their hair. Losing your hair is something that is associated in peopleâ€™s minds with being sick and they donâ€™t like that, so thatâ€™s been another issue. Where do you see this potentially having a role â€“ in later lines of therapy, or earlier on? I think for right now the thought would be to have this after the completion of EGFR-TKI. The data supporting PD-1 and PD-L1 inhibitors prior to any EGFR-TKI is quite scant, so thatâ€™s where I would foresee it. Now, one thing I would also argue is that Iâ€™m hopeful that this is not the â€œbest it getsâ€ for immunotherapy in EGFR-mutant non-small cell lung cancer. I think that the toxicity is significant with this regimen and the efficacy, although in the study it certainly looked better than chemotherapy alone, we still hope for better and hopefully weâ€™ll see that in the coming years.",tarceva,2,,,
"Yesterday I went to see the team at the QMC for a follow-up from the recent MOAR (Mother Of All Relapses) and things have certainly changed in the realm of Disease Modifying Therapies. Most noticeably there seems to be a "" failure will not be tolerated "" attitude to treatments. Which is why after my first relapse in 5 years (and first in the almost 2 years since I started taking Tecfidera), the Neurologist and MS Nurses are keen to discuss changing medication, and a step-up from First Line treatments to more aggressively effective Second Line options. So we're now back in the realm of weighing up drugs (or, more likely, sticking a wet finger in the air to see which way the wind blows) - the key contenders are: Finngolimod (aka Gilenya) - one pill a day but the promised reduction in relapse rate means there's not a huge amount to choose between this and Tecfidera - it's still classed as First Line, and - like I've said - the various teams would like to see a move to something a bit more effective. Tysabri (aka Natalizumab) - an intravenous infusion once every four weeks. The MS Nurse described this as acting like velcro on the immune cells in the blood stream, preventing them from passing through blood vessel walls and into the central nervous system where nerve damage occurs. As it says in the MS Trust publication on Disease Modifying Drug s (links opens as a PDF):  Tysabri is a highly effective (category 2.0) DMD; it reduces the number of relapses by about two thirds (70%). Sounds great, yeah? But hang on...  Treatment with Tysabri may increase the risk of progressive multifocal leukoencephalopathy ( PML ), an uncommon brain infection that can lead to severe disability or even death. PML is caused by a mutation of the JC virus , a common infection completely unrelated to MS. So there's that ... And finally Alemtuzumab (aka Lemtrada aka Campath) - taken as two five-day intravenous infusions, 12 months apart. Again, this is a highly effective category 2 DMD, reducing the number of relapses by around 70%. Because Alemtuzumab suppresses the immune system, people are more vulnerable to infections, and there's the usual headaches and nausea. But surely that's not all, right?  Three serious side effects have been reported from clinical trials: overactive or underactive thyroid gland leading to thyroid disorders, affecting 360 in 1000 people idiopathic thrombocytopenic purpura (ITP), a serious disorder which prevents blood from clotting, affecting 10 in 1000 people kidney problems, affecting 3 in 1000 people These side effects are potentially serious but they are treatable if caught early enough. People taking Lemtrada will be informed of the early signs and symptoms of these side effects. When I was talking to the MS Nurse, she implied that Alemtuzumab had more risks associated with it (certainly more than the MS Trust publication implies), mostly because of how intense it is, effectively wiping out lymphocytes - more reading will have to be done. So this is where we are! Next week I'm going back to the QMC for a blood test to see if I have the JC Virus and am therefore more or less likely to develop PML. On first glance, I was leaning more towards Tysabri but now I'm not so sure.  Posted by stevedomino at 10:37 am   Email This BlogThis! Share to Twitter Share to Facebook Share to Pinterest Labels: drugs , medication , ms nurses , Relapse 2017 , treatment 3 comments:   swisslet said... Jesus. What a set of choices. I really feel for you brother. Just try to remember that there's probably no wrong choice. Or equally, no right choice. *sigh*  Wed Jul 19, 11:25:00 pm    stevedomino said... I know what you're saying, they do all sound pretty crappy. But at least there IS a choice. Talking to Kate (lovely MS Nurse), when people are first diagnosed these days they get put straight onto a DMT and it's often one of these. Times have changed - they have considerably less tolerance for the ""I'll just see how it goes"" attitude!  Thu Jul 20, 09:29:00 am    swisslet said... It was Kate that taught me to inject, fact fans. She is lovely. Maxine wrote me a letter to take to Australia to show to the doctor doing my dive medical, and it made all the difference to his decision. I sent her a postcard from the Great Barrier Reef and she's never forgotten it, bless her!",gilenya,2,,,
"Thank you, Merry. You are a world of knowledge and support. I actually joined a Chemo Support group on FB and everyone shares knowledge and experience. I did get a wig a couple of weeks ago and ordered a couple of the Chemo caps, which look horrible on me! Guess I can wear them around the house. I need more poof. Have read it is better to buzz your head rather then shave it. Yes, this is very hard as I am one that curls and styles my hair every day. Now, I haven't washed it for a week. I guess, since I have not been given many options for treatment, this almost seems futile but I do not want to die any time soon. I would talk to Wakekee before I make any decisions. Was thinking of maybe going to Scripps but, again, would be difficult and I hate to be far from home. Will see what he says this morning.  Jump to this post Saw my dictir this morning. My Neutrophols are only .8! He us skipping Chemo this week, will recheck blood work on Tuesday, Chemo next week for 3 days the 5 days of Granix injections. Going to try and schedule me to get a port put in (shudder) then a PET scan. I was going to ask him how he thought I was doing but guess he can't answer that until after the scan. Asked him about the pains I am getting and he didn't know why. Had pain in my cgest and by my left arm pit this morning. Hard to believe he has done this fir so many years and has no answers. To,d him I found a couple of posts where people with this LCNELC are also getting Keytruda or Opvido but he says that is immunotherapy and he and Wakelee are wary of trying that on me because, this undiagnosed, they are sure I have some immune probkems going on since before this cancer diagnosis. Guess it is a wait and see. Wish he were more talkative.",keytruda,2,,,
"I am sure that evil doctors in bed with pharmaceutical companies makes sensational conspiracy theories or headlines. I think the reality is that's not likely and it's a lot more boring and based on verification and guidelines. As I said biologics aren't first line treatments. I believe patient need, disease severity, and a patient being unresponsive to lesser treatments are a much stronger precursor to being prescribed a biologic. Insurance companies have protocols and procedures to ensure that other medications are tried first. Endoscopes before and after treatment are used as qualifiers, etc. I'm sure there's the occasional bad egg out there (outliers), but the vast majority of doctors have their patients needs at heart. Severe, nonresponsive cases do warrant fast medication escalation. Milder cases do not. NIH (in the UK) is a very different nationally run system that gives individual practices much more overhead and regulations. Newer medications are approved more slowly in the UK than usa (take entyvio as an example). Same goes for newer equipment and procedures. I'd say usa has quicker access to new treatments ideas and processes. The disadvantage is the usa cost, and without thorough vetting some new methodologies may not be any better, just wasteful. The NIH is certainly more cautious. Both systems have pros and cons. However, neither system is full of people with little regard to patient outcomes. Moderator Ulcerative Colitis John , 37, UC in histological remission Rx: Remicade @5mgs/kg/8wks Words containing ""UC"" both literally and figuratively: sUCk, ouch, deuce, mucus, f-ed, lucifer, and luck. Post Edited (iPoop) : 3/30/2016 11:06:39 AM (GMT-6)",entyvio,2,,,
"Hi everyone, I wonder if anyone here has experienced a pretty bad pseudo-relapse and how do you know itâ€™s that? I had 2 very bad relapses in the space of 4 months in 2016 (the second one happened 3 weeks after starting Gilenya). I had just started to regain more mobility before Christmas and finally felt like I was recovering when I woke up Christmas morning to this nasty cold everyone is getting. It weakened me and the amount I was able to walk but that was to be expected â€“ nothing too mad. The thing is since then I canâ€™t shake it. Iâ€™ve not had a full nightâ€™s sleep since 23rd December â€“ Iâ€™m not sure if this insomnia is caused from the cold or the increased dose of baclofen I started in mid-Dec. Either way the result is I completely lost the use of my right leg yesterday and all the awful nerve pain that comes with that (exactly the same as my last relapse in Sept that I was only recovering from)! Could this be a pseudo-relapse caused by the cold and the fact Iâ€™m not sleeping or could it be another full-blown relapse?",gilenya,1,,,
Gilenya makes you slightly more prone to infections. Thatâ€™s why the winter flu injection is recommended. Should be a must for you later this year!,gilenya,1,,,
"Health Canada has approved Mavenclad as a therapy to reduce the frequency of MS exacerbations and delay disease progression. The treatment is generally recommended for patients who failed to respond adequately, or are unable to tolerate, one or more MS therapies. *not highly active MS",mavenclad,0,,,
"Imuran metabolizes into 6mp within your body. Taking 6mp saves a step. Cyclosporine is like prednisone, a temporary rescue medication. 1. Remicade/humira/simponi are all tnf-alpha blockers, very similar meds and prescribed based on patient/doctor preference. 2. Xeljanz is a jak-inhibitor. Completely different than 1, 3 or 4. 3. Entyvio is a madcam1-blocker. Completely different than 1, 2 or 4. 4. Stelera targets regulatory cytokines IL-12 and IL-23. Completely different than 1, 2 or 3. Generally you want to try at least 2 different classes of biologics with different mechanisms of action before considering a surgery. So far you've tried only one class. As there's a point of diminishing returns after failing two classes. Can a third sometimes work? Yes it can happen, some here were rescued by a third but your chance of success drops considerably after failing a second. Moderator Ulcerative Colitis John , 40, UC Proctosigmoiditis Rx: Remicade @5mgs/kg/6wks; daily 75mgs 6MP, 4.8g generic-Lialda, and rowasa You cannot spell sUCks without UC. Post Edited (iPoop) : 9/3/2018 4:12:03 PM (GMT-6)",humira,2,,,
I am on a Lag3 plus Opdivo clinical trial. I have been on the trial for a year. I have had no side effects. All of my tumors continue to shrink. I just had a fantastic Ct scan. I am Pdl1 negative also. Me Cea number went from 300 down to 6.4. I can only stay on this trial for 1 more year. I know this combination of drugs saved my life. I am stage IV lung cancer with mets to liver and pelvis and subclavian. The only mutations I have are HER 3 and p53.,opdivo,0,,,
"Patients with untreated non-small cell lung cancer (NSCLC) with mutations in the epidermal growth factor receptor ( EGFR m) and with central nervous system (CNS) metastases at baseline were reported to have better CNS progression-free survival (PFS) compared with the first-generation EGFR tyrosine kinase inhibitors (TKIs), gefitinib and erlotinib. CNS PFS was not reached for a certain subset of patients administered osimertinib and was 13.9 months with standard EGFR-TKI therapy ( P = .014) These results from a preplanned, exploratory analysis of the phase 3 FLAURA study â€” the registration study that got osimertinib approved to be used as a first-line therapy in patients with EGFR -mutated advanced NSCLC â€” were reported in the Journal of Clinical Oncology. 1,2 The FLAURA study was a randomized, double-blind study in patients with untreated EGFR m NSCLC that compared osimertinib with standard EGFR-TKI therapy (gefitinib or erlotinib). 3 Subset Analysis in Patients From FLAURA With CNS Metastases The subset of patients from FLAURA included in the current analyses had documented CNS metastases at baseline as seen in brain scans assessed by a neurologist in a blinded manner. 1  Related Articles PD-1/PD-L1 Inhibitors May Increase the Risk of Hyperprogressive Disease in NSCLC S-1 Plus Carboplatin May Be Effective in NSCLC Patients With Interstitial Lung Disease Gefitinib Continuation Therapy May Be Effective in NSCLC Post-Progression Of the 200 patients included in the study, data were provided for 128 patients with measurable and/or nonmeasurable CNS metastases on available baseline brain scans (the CNS full-analysis set [cFAS]). Sixty-one patients were treated with osimertinib and 67 with standard EGFR-TKIs. 1 End points that were assessed included CNS PFS, CNS objective response rate (ORR), CNS duration of response (DOR), CNS disease control rate (DCR), and CNS progression. 1 Median follow-up for CNS PFS was 12.4 months for patients on osimertinib and 7.0 months for patients on standard EGFR-TKIs. While patient characteristics were balanced at baseline, the median sum of baseline CNS tumor lesion size was larger in patients on standard EGFR-TKI (29 vs 16 mm in the osimertinib arm). 1 For the end point of CNS PFS, the difference between the 2 arms was considered nominally statistically significant. CNS progression was seen in approximately twice as many patients on standard EGFR-TKIs (39% vs 20% for osimertinib) and resulted in new CNS lesions in 12% of patients on osimertinib and 30% of patients on standard EGFR-TKIs. 1 CNN ORR was 66% for patients on osimertinib and 43% for patients on standard EGFR-TKIs (odds ratio [OR]: 2.5; P = .011). In 41 patients with at least 1 measurable lesion at baseline (the CNS evaluable for response set [cEFR]; osimertinib, 22 patients; standard EGFR-TKI, 19 patients), CNS ORR was 91% for patients on osimertinib and 68% for patients on standard EGFR-TKIs (OR: 4.6; P = .066). 1 In the CNS evaluable-for-response set (cEFR) population, median time to response was 6 weeks for each of the 2 groups. However, median CNS DOR was longer for patients receiving EGFR-TKIs compared with osimertinib (18.7 vs 15.2 months, respectively). Also in this population, CNS DCR was similar across the 2 groups (95% for osimertinib and 89% for EGFR-TKIs; P = .462). 1 The study authors noted that taken together with data reported from FLAURA, these data indicate that in the subgroup of patients without known or treated CNS metastases at baseline, osimertinib provides a protective effect against the development of brain metastases. 1",osimertinib,2,,,
"Good thoughts, thanks California. Risk analysis continues... The internet has certainly had plenty to say about the rituximab/ocrelizumab issue for quite a while.",ocrelizumab,2,,,
"Hi Marcell, I am writing because I have a J-pouch and PSC. I had severe pancolitis that did not respond to medicine. The surgeon described my colon as looking like a bomb went off inside. I don't post much because I am living my life. Am I the same as I was before UC and having a j-pouch? No I am not, but any inconvenience with my j-pouch is nothing compared to what I went through with UC. If you don't have PSC I wouldn't spend time worrying about it. I was diagnosed after my j-pouch surgery. Who know whether I had PSC first then UC, it doesn't matter to me because it doesn't change the diagnosis. The initial diagnosis scared me only because I had a baby (yes after J-pouch surgery) and I was afraid I wouldn't be here to watch her grow. Now, I know a lot more about PSC. Yes it has to be monitored and yes I might someday need a liver transplant, but what good does that do me to worry about that today? The worst problem I have with it today is itching but it can be managed. I agree with iPoop it is good to have an understanding of your medical issues, but you can make yourself crazy doing so. Focus on the good and what you can control. Take care! 38 year old Female from the Buckeye State. Initally misdiagnosed Crohn's Oct 2013. 2nd opinion at Cleveland Clinic rediagnosed Severe Pancolitis/Ulcerative Colitis Jun 2014. 3 recurrences of C-DIFF Spring 2014. Fecal transplant May 2014. PSC diagnosis 2017. Failed Meds: Asacol HD, Prednisone, Humira, Flagyl, Vanco, and Dificid Step 3 J-pouch surgery finished: February 2015",humira,2,,,
"Hi, I felt fairly tired the first week or so on Gilenya but that didnâ€™t last. Hopefully itâ€™ll be the same for you. Cheers",gilenya,1,,,
"Hi guys Iâ€™m thinking of coming off gilenya, for anyone who has come gilenya , did you experience any side effects ?",gilenya,2,,,
"I am 69 and I have wet macular in both eyes. Both were injected with Lucentis for one year and now with Eyelea. The right eye six weekly and the left is just holding with monthly injections. I am used to it now, and do not give it a thought until just before injections. I hope my eyes hold up util I finish my book, now in its seventh year.",lucentis,2,,,
"What is this site? Anyway, the iMac at the end means it is a monoclonal antibody? Rituximab and Ocrevus have the same ending. Ocrevus and rituxan areused for non Hodgkins lymphoma too....and myesthenia gravis (sp)....  Linda~~~~ Be the kind of woman that when your feet hit the floor each morning the devil says:""Oh Crap, She's up!""   Reply With Quote The following 6 users say ""thanks"" Howie ,  Jeanie Z ,  stillstANNding ,  Sunshine ,  SuzE-Q ,",ocrevus,2,,,
"â€“ Prolonged corticosteroid therapy for inflammatory bowel disease (IBD) was associated with a significantly increased mortality risk compared with antiâ€“tumor necrosis factor therapy in a landmark study spotlighted by Edward V. Loftus Jr., MD, at the Gastroenterology Updates, IBD, Liver Disease meeting. This was one of several key studies on safety issues involving IBD medications published in the past year. Others highlighted by Dr. Loftus and copanelist William J. Sandborn, MD, included a study that provided persuasive evidence that TNF inhibitors modestly increase lymphoma risk in IBD patients to a degree similar to that of thiopurines, and several reports addressing the question of whether preoperative use of vedolizumab in patients undergoing major abdominal operations for IBD boosts postoperative infection risk.  Mortality impact of prolonged steroids vs. anti-TNF therapy   Bruce Jancin/MDedge News Dr. Edward V. Loftus Jr. (left) and Dr. William J. Sandborn A retrospective cohort study of more than 13,000 Medicare and Medicaid patients with IBD demonstrated that those on prolonged corticosteroid therapy â€“ defined as more than 3,000 mg of prednisone or its equivalent in a 12-month period â€“ had a significantly higher mortality rate compared with IBD patients on an anti-TNF agent. That will come as an unpleasant surprise to many physicians. There is a widespread reluctance to turn to continuous chronic immunosuppression via anti-TNF therapy in patients with challenging IBD, particularly in elderly individuals with multiple comorbid conditions. Many physicians have heard and read so much about the biologicsâ€™ risks of serious adverse events that they opt instead for multiple courses of corticosteroids for disease control. This is a serious mistake, emphasized Dr. Loftus, professor of medicine and director of the IBD Interest Group at the Mayo Clinic in Rochester, Minn. â€œWhen you say, â€˜Oh, Iâ€™ll just give that patient another prednisone taper, he doesnâ€™t want to start taking a TNF inhibitor,â€™ youâ€™re actually doing the patient harm. Youâ€™re actually affecting the patientâ€™s life expectancy when you do that,â€ he declared. â€œThe message is, yes, steroids are cheap, steroids are easy, nobodyâ€™s afraid of steroids, but you should be afraid of steroids.â€ The 1,879 Crohnâ€™s disease patients who entered the cohort as new users of anti-TNF therapy had a subsequent mortality incidence rate of 21.4 per 1,000 person-years, compared with a rate of 30.1 per 1,000 person-years in the 7,694 who entered the study period as prolonged steroid users. In a multivariate analysis accounting for 57 potential confounding factors, this translated to a highly significant 22% relative risk reduction in mortality in the patients who went with anti-TNF therapy (Am J Gastroenterol. 2018 Jan 16.  doi: 10.1038/ajg.2017.479 ). A similar trend was seen in the ulcerative colitis cohort. The 459 ulcerative colitis patients who entered the cohort as new anti-TNF therapy users had a mortality incidence rate of 23.0 per 1,000 person-years, compared with a rate of 30.9 in the 3,224 who received more than 3,000 mg of prednisone in the next 12 months. This represented a 14% relative risk reduction, although this favorable trend did not achieve statistical significance, perhaps because of the smaller size of the ulcerative colitis cohort.",vedolizumab,1,,,
"Hello I was diagnosed with highly active RRMS in July 2015. I was relapsing very regularly in my first year of diagnosis until I was started on Tecfidera. I have been taking Tecfidera now since April of 2016 and it seemed to be okay for the most part but in March of this year I relapsed again. I had a scan following the relapse which showed more lesions in my brain and spine, and also more activity in a couple of the lesions I already had. I have been told to continue with my Tecfidera for the moment but have been told I will need to move onto a different/stronger treatment as the Tecfidera isn't working anymore. The 2 options suggested are Fingolimod and Lemtrada. I won't go into it too much as I assume most people know about the different medications available but I have chosen the Lemtrada as the success rate is 90% whilst the Fimgolimod is 50%-70% successful. I know everyone's experiences will be completely different but I was wondering if anyone has had the Lemtrada treatment and how they felt it was? Was it rough? Were there any side effects and if so what have you had? Would you recommend the treatment? Many thanks in advance.",fingolimod,2,,,
"My 45 year old husband was diagnosed with PPMS in January and started Ocrevus in March. November will be our second infusion. We've noticed a few things that may be improvements, but we are still cautiously optimistic realizing it's not a cure and it may take several infusions to see a slowing of the progression.",ocrevus,0,,,
"December 7, 2018 Immunotherapy and TNBC: The Beginning of the Beginning As immunotherapy has emerged as an important approach to treating a range of cancers, researchers have been increasingly interested in TNBC as a potential target for these agents. TNBC is an immunogenic cancer. That means that the tumor is more likely to generate an immune response to the cancer. Tumors that are immunogenic usually:  Have multiple mutations Have cells called tumor infiltrating lymphocytes in them TNBC meets these criteria. The first study to note a possible role for immunotherapy in TNBC was the KEYNOTE trial published in June, 2017. That study found that a single agent, pembrolizumab (Keytruda) produced an intriguing response in TNBC patients who had been heavily treated with chemotherapy. While the numbers were small, several of the these very advanced patients had responses that continued for months or even years. That study opened the doors to many trials looking at different aspects of immunotherapy for TNBC. In October 2018, the IMPASSION study showed a significant response to a combination of an immunotherapy agent and chemotherapy as first line therapy in patients with metastatic or non-surgically treatable TNBC. There are now studies looking at combinations of immunotherapy with PARP inhibitors or chemotherapy, studies investigating which patients are most likely to benefit and when in the course of treatment, immunotherapy is most effective. There are also a number of new immunotherapy agents in trials. Two of these studies were highlighted at SABCS 2018: The first is a scientifically complex study aimed at determining which patients will have the highest response rates to an immunotherapy agent known as atezolizumab, the same agent in the IMPASSION study. That trial showed patients with a marker called PD-L1 benefit from treatment with atezolizumab. This will help researchers both design future trials and personalize treatment for TNBC patients. The second study is a phase I trial of CAR-T therapy for patients that have a specific targetable mutation, including TNBC patients. CAR-T is a technically complex form of treatment in which cells are removed from the patient, genetically re-engineered and then injected back into the patient where the goal is to stimulate an ongoing immune response to the tumor. It has been used in clinical trials with patients who have a range of leukemias, lymphomas, non small cell lung cancer and other tumors, but this is the first trial to include TNBC patients. This is a phase I study with small numbers of patients and very early results. Only four TNBC patients were included in the data presented at SABCS, Three of them had responses to their treatment, but it is still far too soon to draw conclusions about the future of CAR-T therapy for TNBC.",atezolizumab,0,,,
"@wynterstorm , this may be due to raised liver enzymes, a side effect of Gilenya. Have you had a blood test yet since starting this medication. If not, Iâ€™d arrange this through your medical team. PS Iâ€™m not medical, so these are just my thoughts, having Googleâ€™d around. ðŸ˜‰",gilenya,1,,,
